text,id,pubdate
"It's a mac. That's literally the only reason I bought it to customize an app that was iOS compatible only. Outside of that, the Camera is horrendous (its giving very 2011 photobooth camera quality) and if you have too many browsers or apps opens it practically crashes. Not really worth the prices in my opinion. Just pay the premium for a macbook pro if the camera and performance is a make or break for you.",2602486242,18535
Excellent value.,2602434234,18535
"I appreciate that the price was discounted for a great value.  The package was secure and well-packaged, which was very important, given that this was delivered via mail.  No cracks on the screen.  The processing speed is quick, which is extremely helpful!  I appreciate there were instructions, in a small pamphlet, that explained how to transfer everything from your previous MacBook to this MacBook.  A seamless transition is vital and means less frustration.  This MacBook Air is very user friendly, especially visually.  As someone who wears glasses, I appreciate the option to make the pointer larger, the ability to have more contrast, etc...  That the user manual automatically pops up and walks you through enhancements and new features makes this even more user-friendly.",2602427093,18535
"This Macbook is definitely great for users who want lots of power and versatility, but don't want to break the bank. It is very lightweight and sleek.The color (gold) is also very pretty, but keep in mind that it is more of a pinkish gold than a yellow gold. However, the camera quality is not great for such an otherwise powerful laptop. Especially in this era of zooming and FaceTiming, a good camera is essential in a laptop. It's not terrible, but its not great either. Another thing - the front lid of the MacBook got a couple of scratches very easily. I was able to get them off, but I would suggest getting a good quality case to ensure that this doesn't happen. All in all I would rate this Macbook a 4.5/5! Definitely lived up to the hype!",2602382610,18535
Rápida y comoda,2602351386,18535
Edit: didn’t return- it did offgass - needed to be cleaned withe alcohol based cleaner. multiple times and left out & open for 2 weeks before chem smells were gone.Just dont expect to be able to use it right out of box if you have MCS/TILTOriginal: Smells so badly I have to return it.,2602304053,18535
I needed to replace my 2015 MacBook Air since it was getting slow and I’m running low on storage.  It was an improvement but is not perfect.  Price wise it is an excellent buy and a lot cheaper than other Apple offerings.  I was pleasantly surprised how easy it is to transfer data and applications using time machine with Apple migration assistant.  The display is outstanding. What I don’t like is the lack of ports and no MagSafe connection for power.  And I prefer Catalina over Big Sur but maybe I’ll get used to it.  Also if you plan on keeping it for more than a couple of years and take a lot of pictures or movies 256 GB is not enough memory.  Get at least 512.,2602293760,18535
I had previously purchased a “renewed” MacBook Air and it wasn’t exactly what I would call renewed. I returned it and found a new MacBook Air for under $900. Only a few hundred more than someone else’s old one and I couldn’t be happier. I’ve had iPhones since 3GS and they have always been user friendly and the MacBook Air is just like my iPhone but better.I have always had windows and the last one installed the manufacturer update and afterwards I could not log into the computer. That’s the end of windows and the beginning of my Mac attack.I highly recommend this item especially if you are able to purchase it for under $900.,2602291642,18535
"Not much to say, excellent product overall. No cons except lack of ports. All day+ battery life, excellent screen. Keyboard is good as well. I have the 8 gb ram version but haven't seen any lag due to it. Use it often to run demanding simulations and it has not disappointed me so far.I was little concerned with the M1 chip and compatibility. However, x86-64 runs well enough, though CPU/ram usage is a bit higher (dropbox, for example). If you are using native versions, its far better than any x86-64 mobile cpus on market.",2605797274,18536
"Light, fast, and intuitive...happy with the product (disclosure: I'm an Apple fan)",2605784589,18536
"I just opened the outer box containing a Mac Air M1.  If you look at the picture, it will tell you why the Apple Store gets a 2 and I feel that is appropriate.  There is NO protection on one side and none on top or bottom.  When it was picked up off the porch, it bounced inside and you can figure that the USPS was not as careful as it was by any stretch of the imagination.  This is not a $10 item, it’s a highly rated Laptop.  Seriously folks???",2605769279,18536
"I purchased the MacBook Air to replace a 4th Gen Surface Pro that was down to about 30 minutes of battery life.  I purchased an Intel Mac Mini about six months ago and was intrigued by recent news articles regarding the M1 chip.  I'm thrilled with the added battery life on the new device and amazed by the speed difference between my Intel-based mini vs. the M1.  Out of the box, adding a full charge, the new Mac estimates 19+ hours of battery life.  I've been using the computer for three hours, four open apps, and have bumped the battery gauge to 98%.  Think I've eliminated battery anxiety.  App launches are two to three times faster on the Air vs. my Mini.  The new laptop is zippy!  I'm thrilled with my new laptop and look forward to many years together.",2605718918,18536
"If I could go back I probably would though past the time now.I'd say I'm computer savvy, spent years of time on windows programs, photoshop etc. Now that my current Dell Inspiron is reaching the end of its life, I followed all the great reviews and purchased this MacBook Air M1.Everything is hard. I actually loved my Dell in many ways, though hopefully its life, around 4-5 years, is about half what this Mac will be.Things I'm missing the most so far, a touch screen, the ability to fully open ie fold-back and flatten the rotation the screen, even the fact of needing to use 3 fingers to take screen-shots instead of an allocated button, the delete button is actually a back-space not delete button. Notifications keep coming in upper right corner, blocking what I might want to access there. One needs to go through each app to change the setting btw, there's no default to say do not show notifications. It would at least be good to have the option to change the location of where they show up. I much prefer chrome to safari, though found on reading that chrome eats up a lot more power. I downloaded Flotata this morning which is supposed to help though I haven't tried yet. Incredibly frustrating especially when time is very limited, trying to figure things out!! Have spent hours on calls with Apple support which thankfully is very accessible. But my computer seems glitchy, sometimes the screen-sharing doesn't work. I haven't purchased a mouse as yet for it and also finding ""right-clicking"" with 2 finger tapping to be frustrating and not working as I'd expect it to.Overall unfortunately not a happy camper. Maybe for Mac users it may be a good machine for whatever reason.I was also very torn whether to get the 8 or 16gb, I went with the 8. I don't think that would make a difference at this early stage of being new.I also tried to have my teen daughter, who's used to Macs, give me tips though she was't terribly helpful so I watched a couple of YouTube vids which gave some guidance, things are not intuitive.I don't like posting negative reviews, though sharing this in case others in similar situations ie needing to carry on with trying to get things done, while their windows laptop is reaching the end of its life and needing to choose a new machine, may find this helpful.Also as an fyi, I had to pay an additional nearly $300 to have my 2 external hard-drives transferred onto a new Mac compatible one, so I can access all my previous work.Wishing everyone better luck!",2605716033,18536
"Everything about this machine has been fantastic.  I could not afford new, but I have found this only a hairsbreadth less than spanking new.  Best for me, since I was away from the wonderful Apple side for several years, Apple help is as fine as the machine.  Plan to go this route next time.",2605705647,18536
"This laptop is really fast and the battery lasts really long.The battery lasts me about a week with just one charge and I find that crazy.There is not fan noise and this doesn't get hot.The quality is really good.. I mean the way the laptop opens with one hand and the smooth closing of the lid is really smooth.The screen isn't the best but its still really good.This laptop has the M1 chip, fastest chip on the market.This laptop's bench marks are off the roof.It's great for casual use like, watching movies, using word docs and excel sheet, coding and video editing.I wouldn't recommend gaming even though basic games will do just fine.",2605673215,18536
"Nothing wrong with the system, but it took more than 2 weeks to arrive, and in the process, the M2 dropped in price. So I'll return this and get the M2.  A waste of my time when I could have used it most.  The wait was really disappointing.",2605667880,18536
Great product,2605666328,18536
Overpriced and very thin be careful,2605661480,18536
The computer is everything I thought it would be. Gave the camera a 3 star because quality could be better but I don’t use FaceTime as much so it’s not a big deal to me. Overall so worth the money. Great investment for my book writing and finances.Definitely a major upgrade from my HP.Now I wasn’t sure who to contact about delivery or where to write it but I don’t appreciate having told them I want someone to sign for it being it is a high value priced item and it was just thrown on my porch and I wasn’t notified at all then when I go look it says it was directly handed to me. Don’t like liars so Amazon you need to get it together because if this would have gotten stolen I would have raised hell for my money back.-thanks.,2605593001,18536
"I assumed the computer was new, I’m not sure that I did not get a renewed one. The computer seems fine so far, but the charger was defective, and I had to spend 30.00 on a new aftermarket charger. You would think the product would be tested. Not a great experience.",2605566041,18536
Looks and feels fantastic,2605514919,18536
"They sent the wrong color, but it's otherwise great",2605512215,18536
"I hate laptops, until I bought this one anyway. I probably burned through over a dozen  or so over the past decade. One of them was actually another Mac Air. I wasn’t impressed. This 2020 model however provides all the power and versatility that I’ve only previously dreamed about.  The Retina display is gorgeous, clear and easy to read. This PC runs Photoshop faster and cleaner than desktops that cost me $3000 or more. Music played back on this little laptop sounds better than any other I’ve heard.  The new Apple M1 chip really shines, beating the Intel versions of this laptop hands down.",2605407147,18536
"I was hesitant buying a MacBook, I said I'd never do it. But after having my iPhone for so long I and my most recent laptop dying, I figured I could take the chance. I love it, it is basically just an iPhone in laptop form. I will miss Microsoft Office Suite, but I don't really need it for that so it is ok.",2605402808,18536
"I left the Apple product line years ago due to their practice of ""forced obsolesce"" with early iPhone models. Having worked in IT for most of my career I like being able to have full control of my device. Apple mostly locks up their devices.But, I decided to give the MacBook Air 2020 a chance because: 1. my MS Surface didn't last long enough for the money and it, too, is hardware locked and 2. I was impressed with the M1 specification.After playing with this machine I have to say the M1 is AWESOME! The screen response is shockingly quick in comparison to other PCs and Apple devices.I highly recommend ONLY buying an Apple device WITH a M1 processor.",2605402392,18536
Holy cow this is the best product I have ever owned no malicious baloney fast easy to use and very enjoyable recommends product I really do,2605342892,18536
My daughter loves this laptop. She will be taking this same laptop to college. I didn’t like the price but if she’s able to keep this laptop and finish college with it. That will justify the outrageous price.,2605292929,18536
"But, I love this laptop.  After asking multiple people who have purchased the same (or better) models and I couldn't be happier purchasing even the lowest end model of MacBook Air.  Does everything I would expect an Apple Computer to do (for what I need it for, basic photo editing, viewing, and typing). So far it's been an amazing purchase.  Just for the sake of keeping Apple on their toes I rated the Battery Life 4 stars and the camera quality 4 stars, as well as the 4 star overall review.  Keep it up Apple, as long as you continue to make the products user-friendly I'll remain a happy customer for years to come.",2605285296,18536
I ordered gold and received silver. Disappointed and never got contacted by the seller about it but everything else is perfect,2605269376,18536
"I had a 2008 MacBook Pro that I used until 2014. I then switched back to a PC until purchasing this M1 MacBook a month ago. I don’t know why I haven’t been using a Mac sooner. Having messages and FaceTime and synced with my phone, along with MS office functionality makes this computer a dream to use.Only issue I had was using a usb c to display port plug to plug into my monitor. Worked great until the latest update of Big Sur. Have an open case with Apple and they seem perplexed, but a quick review of reddit shows this seems to be an issue with the M1 chip. I ended up purchasing a usb-c to hdmi adapter and have had no further issues, except being out $15 for the first cable.",2605264075,18536
"I switched from a PS to a MacBook Air never dreaming Mac would be sooooooo difficult to operate. Stupid things like images not downloading in some emails, setting up folders, how to download a file to that folder, all are completed, and Apple support is totally for geeks not the average user.If I could afford it, I would burn this computer and buy another PC for all the STRESS the MacBook Air has caused me.",2605252639,18536
"Good for what it's worth.I'm not a fan of the price, but guess it's just another Apple thing.Great laptop for daily use.The key keyboard is great. I'm not a professional on computers so I'll usually have to look at the keyboard while I type, but not on this one the keys are positioned perfectly.Nice and crisp resolution.Pretty fast.All around great daily use laptop.",2605230286,18536
Es más pequeña,2605225421,18536
This is a great laptop that is thin and durable. I would recommend a skin or case due to how lightweight it is!,2605193516,18536
"I love my new MacBook. It convenient, advanced technology, light weight and all of my apple devices are connected!",2605188424,18536
Love this Mac.  Arrived fast and packaged well.  Works great and as a first time Mac user it was very easy to learn.  Great price at Amazon and very happy with the purchase.  The computer is very fast.,2605158065,18536
Si tienes o logras una tarjeta de Amazon puedes pagar mensualmente una  mínima cantidad  y compras una macbook que aunque no es de pantalla táctil es de excelente calidad.,2605127483,18536
The MacBook arrived in new condition. and works wonderfully. I was also able to update to the most recent version of Mac OS. Great value Hundreds off a similar new machine.,2605102139,18536
I’m an APPLE user and not surprised with the functionality and quality,2605058990,18536
"I love this MacBook! The battery life is amazing and I have been able to complete work tasks easily. I love the size because I can carry the MacBook when I travel without having to use a big laptop bag. The screen quality is great, but I had a little difficulty seeing the screen outside in a sunny area. Although, when I found some shade I had no problems at all. I am not outside much in the sun on the MacBook so this isn’t a big deal for me. Overall, great product in my opinion. It is perfect for what I need to do for work.",2604947977,18536
Just about the only thing I have objections to is that I don't really like the touchpad much. It doesn't always behave intuitively and I've had to tweak settings to get it to where I'm fairly comfortable using it.But generally... Solid laptop. Good buy.,2604939685,18536
"This laptop actually lives up to all the hype about the M1 chip and such. It is lightning fast, smooth, clear easy to read screen  and the battery lasts and lasts for all day and then some. Also I have noticed that with any normal use it doesn't even get warm so the lack of a fan is not a detriment but nice as a nonexistent fan can't make any noise. I was slightly skeptical but as a multiple APPLE owner not surprised I was happy. Seriously I just sent a 3 year old iPad that had been used hard daily for a battery replacement and received a brand new iPad 3 days after I sent it in. Thats service as well.",2604935056,18536
"This laptop is perfect for student for collage. It is extremely fast however the restarting of this laptop isn’t that fast which is kind strange. Overall I find no faults with this device, I have the 8gb ram version and it performs like a champ for all my needs as a student. I totally recommend this device.",2604925089,18536
"I'm not really a mac user, but I heard a lot of good stuffs on YouTube about M1 Macbook air and want to give it a try. Guess what. I don't think any Windows laptop around this price range can beat this M1 Macbook air. No fan, so it is quiet yet there is almost no heat. Battery life is insanely good. If you are looking for everyday laptop around 900-1000 bucks, this is it. Highly recommended. However, if you play games alot (especially Windows games), then this is a no go.",2604901508,18536
"Likes:- Great performance despite seemingly underpowered on paper.- Battery life is outstandingDislikes:- There were repeated Safari crashes for first few weeks (since cleared up)- MagSafe plug is gone, though it's nice to have standard USB-C power.- Expensive storage upgrades- A lot of software is still unoptimized for new M1 hardware, but performance is generally acceptable even so- CapsLock delay continues to annoy the hell out of meOther:- Keyboard is fine (upgrading from a 2014 MacBook Pro keyboard, which was solid)- Good for lightweight software development",2604890567,18536
Its a rlly good laptop tbh. The only downfall is that it's not touch screen and isn't rlly good for gaming. Other than that it's amazing!,2604875100,18536
it arrived very well and quickly,2604847192,18536
"I used HP laptops for years, their average screen size is like 17, up to almost 20 inch screen size. For this 13 inch MacBook, at first I was surprised, but the second I set things up I got real excited. Siri is super helpful, Mac is small, very easy to carry, super convenient. One thing I like the most is the Touch ID to open laptop. After using Mac I've decided to purchase the latest iPad, Apple products actually worth the money!",2604815809,18536
Really good,2604805874,18536
"I absolutely love this laptop. I'm a software engineer and as you can imagine I spend a lot of time of the computer. This computer is lightning fast, a dream to type on, and it has a beautiful screen. The only downside is that camera quality, which is absolutely atrocious. I have a desktop PC that I do my web conferencing over anyways, so it's not big deal for me. If you really care about the webcam, I would suggest purchasing a third-party webcam. Other than that, I highly recommend this product and I could not be more pleased with it.",2604764279,18536
"I’ve had my MacBook for about a month now, it’s been amazing. I take it to school everyday and each task I do on my Mac is so seem less. Overall amazing laptop with great battery life and an awesome screen. Definitely recommend for students, keyboard is also nice. Laptop is insanely light weight as well.",2604755798,18536
I got this device to last me another 10 years. Will need to have purchased a connector for separate storage devices for standard USB connectors and camera disks. Like the size and portability. Keyboard and touch pad are fine as this was a concern prior to purchase.,2604749911,18536
"I love this laptop. It's fast, practical, sleek, portable, and very useful for me as a college student who does remote work. I have never had a problem with it and I have been using it for a few months now. 100/10.",2604705829,18536
"So far we have had no problems with it. We bought it for my daughter for college. If there are any hiccups come fall, I can resubmit.",2604693305,18536
It is exactly everything I wanted and I am so happy with my purchase!! I will definitely order again from this company!!,2604685477,18536
"If you need a basic Mac and don't need lots of RAM or processing power, the Mac Air is perfect.  It's fast enough for internet connections, zoom calls, word or spreadsheet, Wordpress, etc.  Get 512GB drive, cuz modern software, photos, etc need more space.",2604543255,18536
Had an intel based MacBook Pro that supported 2 additional displays natively. This one only supports one. Luckily has a display link hub as a workaround fo 2 additional monitors. Had no issues with M1 silicon,2604528218,18536
"Great battery charge length – I haven't tested it such that I could report numbers, but clearly much much better than my previous 2018 Powerbook.Screen very good.The M1 processor is fast, but as expected didn't work on a few peripheral (for me) software types. However, these include iDVD and Microsoft messenger. But then again there may be upgrades available that I feel no compelling reason to pursue.",2604525990,18536
"I absolutely love this laptop. it gets the job done for what I need it for for work. I ran into one issue where I shut it down to charge for some time and then when I tried to restart it it was just a black screen with the arrow on the screen and I had to do a hard restart on it. it has only done that once since I got this but so far I do love it. I have and apple iPhone, iPad, and an Apple Watch and it was very easy to get all systems on the same page.",2604506552,18536
"My son who is studying in Florida called me to tell that his MacBook (7 years old) has some small issues and he is worried it could fail during an important session exam/test which is mostly done online under corona. So we had to buy quickly a new MacBook but where not sure whether the M1 would do it without issues regarding standard programs you use on the daily university live (like Office366, Team viewer, GoodNotes, etc.) Now after 3 week my son tells that there are no issues what’s so ever and he likes the performance and as well as the Batterie runtime. The price and shipping time was good as well!",2604462074,18536
Like any laptop this laptop has its little quirks but overall this is one of the best laptops to purchase. I don't know if this is touchscreen but its not that big of a deal for a person like me . The picture/ video quality is great to look at and is very clear but the Photo Booth camera kinda sucks which is a little disappointing . Other than these little things the laptop is  pretty fast and  has all the essential app to create .,2604411350,18536
"Pros. I Love the new M1 processor, I had an i5 MacBook air before this one that was fast, this one is to me compares to the i9 for speed.Cons, I don't like that you have to buy an adapter to have a USB or to use my camera SD card, plus they took away the magnetic cord you charge with now it is just a plug-in like the Macbook Pro. Being a Computer tech I see problems in the future with it being a plug, they always seem to loosen up as the years go on. Other than that I LOVE IT!",2604400503,18536
"I love this MacBook. It’s the first I’ve ever owned and I don’t  regret it. The only problem with it, like many other Apple products, is compatibility, of course. Other than that, I love it!",2604396647,18536
"I am overall very satisfied with my 2020 Apple MacBook Air purchase. Every works smooth and no problems so far. Powerful laptop. For now, I highly recommend.",2604395808,18536
It’s a good laptop with all around features and heavy build quality. Missing some of the pro features but otherwise it works great,2604393800,18536
"Nice product, as usual for Apple!",2604389080,18536
Best laptop ever I had,2604285263,18536
As much as I enjoy my new MacBook. It is way too soon to be experiencing loading delays. I barely have anything loaded on the computer and I have experienced several delays.,2604209867,18536
"I just love this Macbook air.  It replaced my 2014 model that was an 11 inch model.  IT is like light years ahead of that computer, although the old one is wonderful too.  The keyboard is smooth as silk and so easy to type on. I could go on and on about the screen.  Crisp, clear, bright, and wonderful.  I really enjoy the backgrounds on Big Sur as well now.  The speed with the M1 chip is phenomenal on all the programs that I use.Youtube is a great place to get more technical reviews than I have left.  But from an ordinary, person this laptop is fabulous.",2604174214,18536
I had a great experience.  I love my new computer!,2604081632,18536
"The MacBook Air is an amazing machine! I absolutely love it!!! I only wish that it had more ports on it. Not a huge deal because I bought a hub for more ports, but would have been nice to see more ports on this thing. Other than that, I love how responsive it is, and I love the picture quality! Also, the battery life on this thing is unreal!!! I have left it off the charger for well over a week and have not needed to charge it. It is amazing!!!",2604063955,18536
"Works as expected. Shipping was quick. The rose-gold color is a very pretty shade. I have had Macs in the past, but not an Air. I love how thin it is. Not many ports and only two USB-C ones, so note that. I mainly needed just my iPhone 12 Pro to be able to plug into it, so it works for me.My last Mac was a 2011 MacBook Pro. It still works great, but I needed some updated stuff. Just the fact that it lasted me 10+ years shows its value. It is worth it. Once you go Mac, you never go back. ;)",2604034038,18536
"Like the updated M1 processor.  Like the extra memory.  Don't like the ""Left outs"".  No lighted apple logo on the cover.  It was replaced by a mirror like decal. (Cheap)  Don't like the lack of ports.  No HCMI, no SDHC memory slot for you camera memory chip, you need to buy adaptor for USBC and there are only 2 on the left none on the right only a 3.5 mm audio jack. In addition when charging the unit there is no indication, no light no sound, nothing that lets you know it is charging.Cheap, cheap cheap....shame on you Apple.",2604001255,18536
"In general I love this MacBook Air. I have had other Apple products but this is my first laptop.  It has a great display, it opens easily with touch (fingerprint) ID, you can move easily from here to there and not lose any information. It is great for most purposes. The things I have had trouble with are the Apple word processing, spreadsheet or presentation programs, so I continue to use Office 365. That is not totally fair in this review as the device is wonderful!",2603980783,18536
Recommended,2603947439,18536
"muy buen producto y calidad. excelente pantalla, funciona perfecto el lector táctil, rápida al abrir pantalla entre muchas otras cualidades. RECOMENDACIONES: comprar un buen protector de la computadora, comprarle un multi conector de 12 en 1 y que trabaje por los 2 puertos USB-C para distribuir la carga y flujo de trabajo. Adicionalmente si su cartera aguanta comprar la version de 16gb de ram, hice pruebas de carga navegación, abrir y cerrar videos de instagram como 6 veces seguidas y me aparecía en pantalla que la carga de la pagina navegada consumía muchos recursos.",2603896891,18536
lo esperado,2603671312,18536
"I have buyers regret now.  I bought this to update from my old Mac Pro and was hoping I could get some streaming apps like Netflix, Hulu, etc and none of that is available.  I use my laptop for movies and TV while traveling.  No CD drive and none of the aforementioned items make this laptop basically useless to me",2603649603,18536
Wish build in a word processor.,2603599971,18536
"Overall it works fine except it must be plugged in all the time. battery is garbage, not really refurbished, just resold. I will have to pay $ to put in a new battery at the Apple store. Ugh.",2603592320,18536
"I love my MacBook Air! I chose gold, it’s such a beautiful classy color. It came in original packaging packed very safely. I haven’t tried the camera yet.I switched to iPads since 2010 and haven’t missed crashing windows one bit. I needed to do a few things my iPad wouldn’t do a Mac it was! The battery life is amazing, and the screen brightness is great, I’ve heard it isn’t bright as the MacBook Pro but I can’t believe anything would be brighter! I can’t put the brightness but half way up.",2603579772,18536
"There’s nothing I don’t like and I’m sure I have not explored everything in my new Air. pro, the screen quality is great, I do not have touch screen and I do not play games on the Computer only on my IPhone.To make along story short, it’s great.",2603579005,18536
"Excellent battery, speedy, lightweight. You do not often come across these three benefits together. This is still a great purchase if you (like me) do the regular zoom meetings, graphic design, edit 4k video, some spreadsheet work and occasionally edit batches of 100 photos in raw format in Lightroom. Go spend some more in a M1 Pro or Max if you really need that much computational power for 3d or heavy 8k video editing.",2603573996,18536
I needed a new computer and this one is just right for me. Very easy to set up and user friendly. I don't know a lot about computers but my sons said I made a good choice with this one. The rose gold is a fun color and a change from drab gray or silver.,2603566391,18536
"This is my first Apple computer and I love it.  Just be aware that this MacBook Air doesn't natively support two external monitors.  All you need to do however, is buy theHyperDrive Dual 4K HDMI 10-in-1 USB-C Hub directly from Hyperdrive to resolve this issue.",2603518004,18536
"No option to buy a macbook air at a bigger size, this screen feels a bit small, no 120hz and, no touchscreen really makes it feel dated. Great battery life, the metal finish is really slippery, I bought a d-brand skin to fix that. Good little laptop for general use, web browsing, lite gaming.The screen, even for a 60hz panel has some ghosting that may bother some.",2603434683,18536
My feet.,2603355408,18536
"This is my 4th Mac laptop, the earlier ones were all MacBook Pros.  I was reticent about getting an Air, but with the M1 chip, this thing is a superb replacement.  So small & light, yet speedy.  Only drawback is the fixed 8GB RAM complement.  I take care not to send the thing into swap- suspending old browser tabs is essential.",2603285356,18536
"This is a M1 Macbook Air what more can we say?  We went with Used - Good Condition Space Gray in order to save money and so far everything looks and works well.  There were 2 battery cycles, minor signs of use on the bottom, and the charger was obviously used but otherwise its in good shape.  There were about 8 months of factory warranty left and I couldn't add applecare+ since it was bought used so I went with a 3rd party warranbty service instead.",2603266523,18536
"Best laptop you can buy but mine came scratched idk why Apple is trying to punish me for but it's fine. Also be really careful because the screen is special, it has a coating for retina display and even touching it or gently cleaning it can remove some of the coating and leave subtle blue marks. Sound is boxy I'd recommend SpeakerAmp and choose flat sound to get a clearer sound. But nothing is perfect of course and for that price this is a great investment",2603217793,18536
I got this for school after my hp computer's battery stopped working. It's really great for the price! the screen resolution is really nice and the touch id is a good add on. I really wish apple would make touch screen macbooks but they probably never will. it also doesn't have a usb port which is kind of weird. learning the controls takes some time but overall a great computer!,2603174343,18536
"Smaller form than the Macbook Air it replaced but screen size was the same. Lighter, too! The rose gold is beautiful and the computer works incredibly well and is lightning fast. Migration assistant made data transfer from old to new a piece of cake. Absolutely love it!",2603148902,18536
I love my new Apple MacBook Air. It’s has a new operating system that I am getting used to. The machine itself is wonderful it reminds me of my G4 and PRO Power Tower the great grandfather and parent of my new MacBook Air. As soon as I get PS I will be dancing with my new toy and being creative again. My MacBook Air arrived in great condition and ready to go. I have been an Apple girl for many years and love their products. Thank you so much.,2603146621,18536
Nothing comes close. Best value for top class product. its an APPLE. closest to this is a Surface but the OS in this thing is much safer and built with more security in mind.,2603140909,18536
"Can't add much that hasn't already been said. I upgraded from a 2017 MacBook Air and find this to be superior in just about every way. The battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and I love the larger haptic feedback touchpad. I don't use the camera but it isn't the greatest from what I understand and I do kind of miss the magsafe connector.",2603138140,18536
"I gave this purchase a run around and delayed purchasing it for a good while, but I cant stress enough how amazing this computer has been. I take it around with me for studying and playing music and just basic stuff but is amazing, the m1 chip is quite a game changer.",2603135146,18536
I had a MacBook Pro 13 2015...that machine lasted a long time and I love it. It dropped and I needed a replacement fast. MacBook Air 2020 is not a disappointment. The battery life even if downloading is incredible. I had it downloading all night and I still have a charge. It was only a slow download because the internet speed sucks. The touch ID is a delight. I love the picture quality. So far I am so impressed. Hopefully it will last as much as the other lasted.,2603128530,18536
"Recibi el articulo con la misma calidad que el de una tienda. Sin problemas hasta el momento. Inicialmente pensé que el equipo tendría 8 GPU sin embargo he recibido la versión de 7 GPU aunque para mí esta bien hubiese querido 8, creo que parte de la descripción del producto eran 8 GPU.En cuanto a la temperatura un poco preocupado porque en ciertos momentos del día presenta un indice alto para mi, sin embargo consultando con Apple vía soporte me han comentado que se encuentra dentro de los rangos.",2603060887,18536
"Such a nice laptop. I am upgrading from a 2012 MacBook and this one is light years ahead of the game compared to that one. It’s slim, fast, user friendly, and the iconic apple products that I’ve grown to love.",2603057228,18536
The only issue I have is when watching Apple TV. The sound quality Isaac under heavy bass,2603050402,18536
"I'm giving this a 5 star because the laptop is perfect for what it is and the seller was great, however I watched multiple YouTube videos glorifying the M1 chip as being fast enough that 8GB could handle a ton of open applications. I need a bunch of tabs open for my work, use Canva constantly, and occasionally need to open Photoshop too so I needed to return this and buy 16GB. But that's my fault and the YouTube reviews faults, not the laptop. Battery life is amaaaazing though!",2602963131,18536
"No dislikes with this product.  Likes, it is easy to use and navigate which i loved from the start.",2602952317,18536
It's a good laptop. It's an Apple so it is overpriced but you have to expect that buying any Apple product,2602931252,18536
